dbid;expid;resid;ppid;gender_m_f;age_months;type_risk_control;contrast_native_nonnative;first_alternation_alt_nalt;group_one_two;speaker_multiple_single;trained_train_ntrain;grpid;sesid;sesdate;sestime;sesrepexp;sesrepgrp;sesstat;expstat;expver;phase;trialnum;lt;nlt;looks;lookaways;crit_met;alt_type
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_POST_ATTENTION;10;8088;3412;5;4;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_POST_ATTENTION;11;8839;3911;5;5;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_POST_ATTENTION;12;9580;4420;6;5;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_POST_ATTENTION;13;10262;4988;6;6;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_POST_ATTENTION;14;10835;5665;7;6;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_POST_ATTENTION;15;12031;5718;7;7;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_POST_ATTENTION;16;12031;6968;7;7;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_POST_ATTENTION;17;12888;7362;8;7;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_POST_ATTENTION;18;13572;7927;8;8;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_POST_ATTENTION;19;13888;8862;9;8;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_POST_ATTENTION;20;15138;8862;9;8;false;0
