dbid;expid;resid;ppid;gender_m_f;age_months;type_risk_control;contrast_native_nonnative;first_alternation_alt_nalt;group_one_two;speaker_multiple_single;trained_train_ntrain;grpid;sesid;sesdate;sestime;sesrepexp;sesrepgrp;sesstat;expstat;expver;trial;tstart;tend;sound;face
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;0;214970;215219;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;0;216219;216469;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;0;217469;217719;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;0;218719;218969;some beep;none
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;0;236837;237087;some beep;none
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;0;238087;238337;some beep;none
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;0;239337;239587;some beep;none
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;0;240587;240837;some beep;none
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;0;241837;242087;some beep;none
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;0;243087;243337;some beep;none
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;0;244337;244587;some beep;none
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;0;245587;245837;some beep;none
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;0;246837;247087;some beep;none
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;0;248087;248337;some beep;none
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;0;249337;249587;some beep;none
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;0;250587;250836;some beep;none
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;0;251836;252086;some beep;none
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;0;253086;253336;some beep;none
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;0;254336;254586;some beep;none
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;0;255586;255836;some beep;none
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;0;256836;257086;some beep;none
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;0;258086;258336;some beep;none
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;0;259336;259586;some beep;none
01;hvf;JD;aas;m;10;risk;native;alt;one;multiple;train;ALL;4;2018-11-19;15:12;0;0;3;0;1;0;260586;260836;some beep;none
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;0;201988;202238;some beep;none
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;0;203238;203488;some beep;none
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;0;204488;204737;some beep;none
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;0;205737;205987;some beep;none
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;0;206987;207237;some beep;none
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;0;208237;208487;some beep;none
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;0;209487;209737;some beep;none
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;0;210737;210987;some beep;none
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;0;211987;212237;some beep;none
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;0;213237;213487;some beep;none
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;0;214487;214737;some beep;none
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;0;215737;215987;some beep;none
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;0;216987;217237;some beep;none
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;0;218237;218487;some beep;none
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;0;219487;219737;some beep;none
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;0;220737;220987;some beep;none
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;0;221987;222237;some beep;none
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;0;223237;223487;some beep;none
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;0;224487;224737;some beep;none
01;hvf;JD;bees;f;12;control;nonnative;nalt;two;single;ntrain;ALL;5;2018-11-19;15:36;0;0;3;0;1;0;225737;225987;some beep;none
